Stop Name,Line,Borough,Complex ID,Constituent Station Name,Station ID,GTFS Stop ID,Daytime Routes,Entry Allowed,Exit Allowed,Entrance Latitude,Entrance Longitude
Avenue I,6th Av - Culver,B,246,Avenue I,246,F31,F,YES,YES,40.624263,-73.976049
Avenue I,6th Av - Culver,B,246,Avenue I,246,F31,F,YES,YES,40.624301,-73.975817
Bay Pkwy,6th Av - Culver,B,247,Bay Pkwy,247,F32,F,YES,YES,40.620797,-73.975479
Bay Pkwy,6th Av - Culver,B,247,Bay Pkwy,247,F32,F,YES,YES,40.6211888,-73.9754707
Bay Pkwy,6th Av - Culver,B,247,Bay Pkwy,247,F32,F,YES,YES,40.6208412,-73.9751501
Avenue N,6th Av - Culver,B,248,Avenue N,248,F33,F,YES,YES,40.6161563,-73.9745128
Avenue N,6th Av - Culver,B,248,Avenue N,248,F33,F,YES,YES,40.6161843,-73.9742754
Avenue N,6th Av - Culver,B,248,Avenue N,248,F33,F,YES,YES,40.6142815,-73.9741652
Avenue N,6th Av - Culver,B,248,Avenue N,248,F33,F,YES,YES,40.614304,-73.97391
Avenue P,6th Av - Culver,B,249,Avenue P,249,F34,F,YES,YES,40.608615,-73.973097
Avenue P,6th Av - Culver,B,249,Avenue P,249,F34,F,YES,YES,40.609041,-73.972904
Kings Hwy,6th Av - Culver,B,250,Kings Hwy,250,F35,F,YES,YES,40.602197,-73.97264
Kings Hwy,6th Av - Culver,B,250,Kings Hwy,250,F35,F,YES,YES,40.602178,-73.972379
Kings Hwy,6th Av - Culver,B,250,Kings Hwy,250,F35,F,YES,YES,40.6040675,-73.9723734
Kings Hwy,6th Av - Culver,B,250,Kings Hwy,250,F35,F,YES,YES,40.6040527,-73.9721405
Avenue U,6th Av - Culver,B,251,Avenue U,251,F36,F,YES,YES,40.5950561,-73.9736337
Avenue U,6th Av - Culver,B,251,Avenue U,251,F36,F,YES,YES,40.596701,-73.973402
Avenue U,6th Av - Culver,B,251,Avenue U,251,F36,F,YES,YES,40.595027,-73.973382
Avenue U,6th Av - Culver,B,251,Avenue U,251,F36,F,YES,YES,40.596897,-73.973137
Avenue X,6th Av - Culver,B,252,Avenue X,252,F38,F,YES,YES,40.5905319,-73.9742703
Avenue X,6th Av - Culver,B,252,Avenue X,252,F38,F,YES,YES,40.590266,-73.974051
Neptune Av,6th Av - Culver,B,253,Neptune Av,253,F39,F,YES,YES,40.5809192,-73.9746771
Neptune Av,6th Av - Culver,B,253,Neptune Av,253,F39,F,YES,YES,40.5809125,-73.9745086
Inwood-207 St,8th Av - Fulton St,M,143,Inwood-207 St,143,A02,A,YES,YES,40.8678352,-73.9214448
Inwood-207 St,8th Av - Fulton St,M,143,Inwood-207 St,143,A02,A,YES,YES,40.8675148,-73.9213476
Inwood-207 St,8th Av - Fulton St,M,143,Inwood-207 St,143,A02,A,YES,YES,40.867892,-73.921234
Inwood-207 St,8th Av - Fulton St,M,143,Inwood-207 St,143,A02,A,YES,YES,40.8676606,-73.9209393
Inwood-207 St,8th Av - Fulton St,M,143,Inwood-207 St,143,A02,A,YES,YES,40.8682937,-73.9196148
Inwood-207 St,8th Av - Fulton St,M,143,Inwood-207 St,143,A02,A,YES,YES,40.8680441,-73.9192915
